name,symbol,category,author,keywords
Camera,fa-camera-retro,Entertainment,font-awesome,Entertainment
Key,fa-key,UI,font-awesome,UI
Cogs,fa-cogs,UI,font-awesome,UI
Comments,fa-comments,Social,font-awesome,Social
Thumbs Up,fa-thumbs-o-up,Social,font-awesome,Social
Thumbs Down,fa-thumbs-o-down,Social,font-awesome,Social
Star Half,fa-star-half,UI,font-awesome,UI
Heart,fa-heart-o,UI,font-awesome,UI
Sign Out,fa-sign-out,UI,font-awesome,UI
LinkedIN,fa-linkedin-square,Social,font-awesome,Social
Thumbtack,fa-thumb-tack,Business,font-awesome,Business
Link,fa-external-link,UI,font-awesome,UI
Sign In,fa-sign-in,UI,font-awesome,UI
Trophy,fa-trophy,UI,font-awesome,UI
Github,fa-github-square,Social,font-awesome,Social
Upload,fa-upload,Technology,font-awesome,Technology
Lemon,fa-lemon-o,Nature,font-awesome,Nature
Phone,fa-phone,Technology,font-awesome,Technology
Square,fa-square-o,UI,font-awesome,UI
Bookmark,fa-bookmark-o,UI,font-awesome,UI
Phone,fa-phone-square,Technology,font-awesome,Technology
Twitter,fa-twitter,Social,font-awesome,Social
Facebook,fa-facebook,Social,font-awesome,Social
Github,fa-github,Social,font-awesome,Social
Unlock,fa-unlock,UI,font-awesome,UI
Credit Card,fa-credit-card,Business,font-awesome,Business
RSS,fa-rss,Technology,font-awesome,Technology
HDD,fa-hdd-o,Technology,font-awesome,Technology
Bullhorn,fa-bullhorn,UI,font-awesome,UI
Bell,fa-bell,UI,font-awesome,UI
Certificate,fa-certificate,UI,font-awesome,UI
Hand right,fa-hand-o-right,Social,font-awesome,Social
Hand left,fa-hand-o-left,Social,font-awesome,Social
Hand up,fa-hand-o-up,Social,font-awesome,Social
Hand down,fa-hand-o-down,Social,font-awesome,Social
Circle Arrow Left,fa-arrow-circle-left,UI,font-awesome,UI
Circle Arrow Right,fa-arrow-circle-right,UI,font-awesome,UI
Circle Arrow Up,fa-arrow-circle-up,UI,font-awesome,UI
Circle Arrow Down,fa-arrow-circle-down,UI,font-awesome,UI
Globe,fa-globe,UI,font-awesome,UI
Wrench,fa-wrench,UI,font-awesome,UI
Tasks,fa-tasks,UI,font-awesome,UI
Filter,fa-filter,Business,font-awesome,Business
Briefcase,fa-briefcase,UI,font-awesome,UI
Arrows,fa-arrows-alt,UI,font-awesome,UI
Users,fa-users,Technology,font-awesome,Technology
Link,fa-link,Technology,font-awesome,Technology
Cloud,fa-cloud,Technology,font-awesome,Technology
Beaker,fa-flask,Business,font-awesome,Business
Scissors,fa-scissors,Business,font-awesome,Business
Files,fa-files-o,Business,font-awesome,Business
Paperclip,fa-paperclip,Business,font-awesome,Business
Floppy Disk,fa-floppy-o,Technology,font-awesome,Technology
Square,fa-square,UI,font-awesome,UI
Bars,fa-bars,Technology,font-awesome,Technology
List Unordered,fa-list-ul,UI,font-awesome,UI
List Ordered,fa-list-ol,UI,font-awesome,UI
Strikethrough,fa-strikethrough,UI,font-awesome,UI
Underline,fa-underline,UI,font-awesome,UI
Table,fa-table,UI,font-awesome,UI
Magic,fa-magic,UI,font-awesome,UI
Truck,fa-truck,Travel,font-awesome,Travel
Pinterest,fa-pinterest,Social,font-awesome,Social
Pinterest,fa-pinterest-square,Social,font-awesome,Social
Goolge Plus,fa-google-plus-square,Social,font-awesome,Social
Google Plus,fa-google-plus,Social,font-awesome,Social
Business,fa-money,Business,font-awesome,Business
Caret Down,fa-caret-down,UI,font-awesome,UI
Caret Up,fa-caret-up,UI,font-awesome,UI
Caret Left,fa-caret-left,UI,font-awesome,UI
Caret Right,fa-caret-right,UI,font-awesome,UI
Columns,fa-columns,UI,font-awesome,UI
Sort,fa-sort,UI,font-awesome,UI
Sort Down,fa-sort-down,UI,font-awesome,UI
Sort Up,fa-sort-up,UI,font-awesome,UI
Envelope,fa-envelope,Business,font-awesome,Business
LinkedIN,fa-linkedin,Social,font-awesome,Social
Undo,fa-undo,UI,font-awesome,UI
Legal,fa-legal,UI,font-awesome,UI
Dashboard,fa-dashboard,Travel,font-awesome,Travel
Comment,fa-comment-o,Social,font-awesome,Social
Comments,fa-comments-o,Social,font-awesome,Social
Bold,fa-bolt,UI,font-awesome,UI
Sitemap,fa-sitemap,Business,font-awesome,Business
Umbrella,fa-umbrella,UI,font-awesome,UI
Paste,fa-paste,UI,font-awesome,UI
Lightbulb,fa-lightbulb-o,UI,font-awesome,UI
Exchange,fa-exchange,UI,font-awesome,UI
Cloud Download,fa-cloud-download,Technology,font-awesome,Technology
Cloud Upload,fa-cloud-upload,Technology,font-awesome,Technology
User MD,fa-user-md,Social,font-awesome,Social
Stethoscope,fa-stethoscope,Social,font-awesome,Social
Suitecase,fa-suitcase,Travel,font-awesome,Travel
Bell,fa-bell-o,UI,font-awesome,UI
Coffee,fa-coffee,Entertainment,font-awesome,Entertainment
Cutlery,fa-cutlery,Entertainment,font-awesome,Entertainment
Text File,fa-file-text-o,Technology,font-awesome,Technology
Building,fa-building-o,Business,font-awesome,Business
Hospital,fa-hospital-o,Social,font-awesome,Social
Ambulance,fa-ambulance,Social,font-awesome,Social
Medical Kit,fa-medkit,Social,font-awesome,Social
Fighter Jet,fa-fighter-jet,Travel,font-awesome,Travel
Beer,fa-beer,Entertainment,font-awesome,Entertainment
Square,fa-h-square,UI,font-awesome,UI
Plus,fa-plus-square-o,Business,font-awesome,Business
Angle Double Left,fa-angle-double-left,UI,font-awesome,UI
Angle Double Right,fa-angle-double-right,UI,font-awesome,UI
Angle Double Up,fa-angle-double-up,UI,font-awesome,UI
Angle double Down,fa-angle-double-down,UI,font-awesome,UI
Angle Left,fa-angle-left,UI,font-awesome,UI
Angle Right,fa-angle-right,UI,font-awesome,UI
Angle Up,fa-angle-up,UI,font-awesome,UI
