,FONTOLOGY CATEGORIES,,,
,UI elements,,,
,Food & Drink,,,
,Travel & Transportation,,,
,Sports,,,
,"Nature (Weather, Plants, Animals)",,,
,"People (Emoticons, men, women, contacts)",,,
,"Social (networks, phone)",,,
,"Entertainment (music, drama, dance, film, photography, arts etc)",,,
,"Business, Finance, Money, Retail, Shopping",,,
,Science & Technology,,,
,Office,,,
,Objects,,,
